Enter initial value for theta: 500 
Enter stepsize for the points: .01
Enter stepsize: .001

[1.240000,408.977155]  	 mhat: 3549.691840

[1.250000,407.590514]  	 mhat: 3629.218339

[1.260000,406.195476]  	 mhat: 3709.752213

[1.270000,404.792101]  	 mhat: 3791.293234

[1.280000,403.380453]  	 mhat: 3873.840998

[1.290000,401.960594]  	 mhat: 3957.394932

[1.300000,400.532587]  	 mhat: 4041.954286

[1.310000,399.096495]  	 mhat: 4127.518139

[1.320000,397.652383]  	 mhat: 4214.085396

[1.330000,396.200314]  	 mhat: 4301.654788

[1.340000,394.740352]  	 mhat: 4390.224871

[1.350000,393.272563]  	 mhat: 4479.794028

[1.360000,391.797011]  	 mhat: 4570.360465

[1.370000,390.313762]  	 mhat: 4661.922214

[1.380000,388.822881]  	 mhat: 4754.477132

[1.390000,387.324435]  	 mhat: 4848.022900

[1.400000,385.818489]  	 mhat: 4942.557025

[1.410000,384.305111]  	 mhat: 5038.076835

[1.420000,382.784367]  	 mhat: 5134.579487

[1.430000,381.256324]  	 mhat: 5232.061956

[1.440000,379.721049]  	 mhat: 5330.521047

[1.450000,378.178612]  	 mhat: 5429.953385

[1.460000,376.629079]  	 mhat: 5530.355420

[1.470000,375.072519]  	 mhat: 5631.723426

[1.480000,373.509001]  	 mhat: 5734.053502

[1.490000,371.938594]  	 mhat: 5837.341568

[1.500000,370.361366]  	 mhat: 5941.583371

[1.510000,368.777387]  	 mhat: 6046.774480

[1.520000,367.186728]  	 mhat: 6152.910290

[1.530000,365.589458]  	 mhat: 6259.986019

[1.540000,363.985647]  	 mhat: 6367.996709

[1.550000,362.375365]  	 mhat: 6476.937229

[1.560000,360.758685]  	 mhat: 6586.802269

[1.570000,359.135676]  	 mhat: 6697.586347

[1.580000,357.506409]  	 mhat: 6809.283805

[1.590000,355.870958]  	 mhat: 6921.888812

[1.600000,354.229392]  	 mhat: 7035.395359

[1.610000,352.581785]  	 mhat: 7149.797267

[1.620000,350.928207]  	 mhat: 7265.088181

[1.630000,349.268733]  	 mhat: 7381.261574

[1.640000,347.603435]  	 mhat: 7498.310745

[1.650000,345.932384]  	 mhat: 7616.228820

[1.660000,344.255656]  	 mhat: 7735.008755

[1.670000,342.573322]  	 mhat: 7854.643331

[1.680000,340.885457]  	 mhat: 7975.125161

[1.690000,339.192134]  	 mhat: 8096.446685

[1.700000,337.493427]  	 mhat: 8218.600172

[1.710000,335.789410]  	 mhat: 8341.577723

[1.720000,334.080158]  	 mhat: 8465.371270

[1.730000,332.365745]  	 mhat: 8589.972573

[1.740000,330.646247]  	 mhat: 8715.373226

[1.750000,328.921737]  	 mhat: 8841.564656

[1.760000,327.192291]  	 mhat: 8968.538122

[1.770000,325.457985]  	 mhat: 9096.284717

[1.780000,323.718893]  	 mhat: 9224.795367

[1.790000,321.975092]  	 mhat: 9354.060834

[1.800000,320.226657]  	 mhat: 9484.071716

[1.810000,318.473665]  	 mhat: 9614.818446

[1.820000,316.716190]  	 mhat: 9746.291296

[1.830000,314.954310]  	 mhat: 9878.480375

[1.840000,313.188102]  	 mhat: 10011.375630

[1.850000,311.417640]  	 mhat: 10144.966848

[1.860000,309.643004]  	 mhat: 10279.243656

[1.870000,307.864268]  	 mhat: 10414.195523

[1.880000,306.081511]  	 mhat: 10549.811760

[1.890000,304.294809]  	 mhat: 10686.081519

[1.900000,302.504240]  	 mhat: 10822.993797

[1.910000,300.709881]  	 mhat: 10960.537438

[1.920000,298.911809]  	 mhat: 11098.701127

[1.930000,297.110103]  	 mhat: 11237.473401

[1.940000,295.304840]  	 mhat: 11376.842640

[1.950000,293.496098]  	 mhat: 11516.797075

[1.960000,291.683955]  	 mhat: 11657.324787

[1.970000,289.868489]  	 mhat: 11798.413707

