Enter initial value for theta: 40000
Enter stepsize for the points: .01
Enter stepsize: .001

[1.180000,4173.452690]  	 mhat: 30946.728707

[1.190000,4160.134152]  	 mhat: 31682.003916

[1.200000,4146.727991]  	 mhat: 32427.343218

[1.210000,4133.234801]  	 mhat: 33182.754802

[1.220000,4119.655175]  	 mhat: 33948.245162

[1.230000,4105.989714]  	 mhat: 34723.819094

[1.240000,4092.239019]  	 mhat: 35509.479688

[1.250000,4078.403697]  	 mhat: 36305.228327

[1.260000,4064.484357]  	 mhat: 37111.064678

[1.270000,4050.481612]  	 mhat: 37926.986691

[1.280000,4036.396079]  	 mhat: 38752.990595

[1.290000,4022.228378]  	 mhat: 39589.070889

[1.300000,4007.979132]  	 mhat: 40435.220346

[1.310000,3993.648967]  	 mhat: 41291.430002

[1.320000,3979.238513]  	 mhat: 42157.689159

[1.330000,3964.748404]  	 mhat: 43033.985375

[1.340000,3950.179276]  	 mhat: 43920.304469

[1.350000,3935.531768]  	 mhat: 44816.630509

[1.360000,3920.806522]  	 mhat: 45722.945819

[1.370000,3906.004186]  	 mhat: 46639.230969

[1.380000,3891.125408]  	 mhat: 47565.464778

[1.390000,3876.170839]  	 mhat: 48501.624307

[1.400000,3861.141136]  	 mhat: 49447.684862

[1.410000,3846.036955]  	 mhat: 50403.619992

[1.420000,3830.858958]  	 mhat: 51369.401483

[1.430000,3815.607809]  	 mhat: 52344.999363

[1.440000,3800.284174]  	 mhat: 53330.381896

[1.450000,3784.888724]  	 mhat: 54325.515585

[1.460000,3769.422131]  	 mhat: 55330.365171

[1.470000,3753.885070]  	 mhat: 56344.893629

[1.480000,3738.278219]  	 mhat: 57369.062174

[1.490000,3722.602259]  	 mhat: 58402.830254

[1.500000,3706.857873]  	 mhat: 59446.155559

[1.510000,3691.045748]  	 mhat: 60498.994012

[1.520000,3675.166572]  	 mhat: 61561.299779

[1.530000,3659.221036]  	 mhat: 62633.025262

[1.540000,3643.209834]  	 mhat: 63714.121106

[1.550000,3627.133663]  	 mhat: 64804.536198

[1.560000,3610.993220]  	 mhat: 65904.217668

[1.570000,3594.789209]  	 mhat: 67013.110892

[1.580000,3578.522331]  	 mhat: 68131.159494

[1.590000,3562.193293]  	 mhat: 69258.305347

[1.600000,3545.802804]  	 mhat: 70394.488580

[1.610000,3529.351573]  	 mhat: 71539.647572

[1.620000,3512.840314]  	 mhat: 72693.718964

[1.630000,3496.269742]  	 mhat: 73856.637657

[1.640000,3479.640573]  	 mhat: 75028.336817

[1.650000,3462.953527]  	 mhat: 76208.747876

[1.660000,3446.209326]  	 mhat: 77397.800540

[1.670000,3429.408693]  	 mhat: 78595.422792

[1.680000,3412.552354]  	 mhat: 79801.540891

[1.690000,3395.641035]  	 mhat: 81016.079383

[1.700000,3378.675467]  	 mhat: 82238.961104

