Enter initial value for theta: 5
Enter stepsize for the points: .1
Enter stepsize: .001
[0.000000,5.000000]  	 mhat: 0.000000

[0.100000,4.993196]  	 mhat: 0.020927

[0.200000,4.972822]  	 mhat: 0.167005

[0.300000,4.938984]  	 mhat: 0.561342

[0.400000,4.891864]  	 mhat: 1.322984

[0.500000,4.831711]  	 mhat: 2.564956

[0.600000,4.758846]  	 mhat: 4.392378

[0.700000,4.674569]  	 mhat: 6.871949

[0.800000,4.577629]  	 mhat: 10.137239

[0.900000,4.469335]  	 mhat: 14.238190

[1.000000,4.350268]  	 mhat: 19.232127

[1.100000,4.221068]  	 mhat: 25.161147

[1.200000,4.081002]  	 mhat: 32.125022

[1.300000,3.933603]  	 mhat: 39.995036

[1.400000,3.778333]  	 mhat: 48.827125

[1.500000,3.616042]  	 mhat: 58.595779

[1.600000,3.447626]  	 mhat: 69.258292

[1.700000,3.274022]  	 mhat: 80.755187

[1.800000,3.096203]  	 mhat: 93.010947

[1.900000,2.915177]  	 mhat: 105.935040

[2.000000,2.731982]  	 mhat: 119.423255

[2.100000,2.547681]  	 mhat: 133.359350

[2.200000,2.363362]  	 mhat: 147.617010

[2.300000,2.180132]  	 mhat: 162.062111

[2.400000,1.999109]  	 mhat: 176.555286

[2.500000,1.821423]  	 mhat: 190.954778

[2.600000,1.648206]  	 mhat: 205.119572

[2.700000,1.480587]  	 mhat: 218.912761

[2.800000,1.319677]  	 mhat: 232.205110

[2.900000,1.166561]  	 mhat: 244.878752

[3.000000,1.022272]  	 mhat: 256.830895

[3.100000,0.887771]  	 mhat: 267.977405

[3.200000,0.763908]  	 mhat: 278.256028

[3.300000,0.651379]  	 mhat: 287.628972

[3.400000,0.550673]  	 mhat: 296.084482

[3.500000,0.462014]  	 mhat: 303.637008

[3.600000,0.385311]  	 mhat: 310.325614

[3.700000,0.320128]  	 mhat: 316.210461

[3.800000,0.265690]  	 mhat: 321.367517

[3.900000,0.220930]  	 mhat: 325.882085

[4.000000,0.184593]  	 mhat: 329.842093

[4.100000,0.155349]  	 mhat: 333.332184

[4.200000,0.131908]  	 mhat: 336.429401

[4.300000,0.113107]  	 mhat: 339.200763

[4.400000,0.097956]  	 mhat: 341.702543

[4.500000,0.085647]  	 mhat: 343.980770

[4.600000,0.075543]  	 mhat: 346.072428

[4.700000,0.067229]  	 mhat: 347.988261

[4.800000,0.060164]  	 mhat: 349.790044

[4.900000,0.054156]  	 mhat: 351.476098

[5.000000,0.048991]  	 mhat: 353.061035

[5.100000,0.044505]  	 mhat: 354.556533

[5.200000,0.040574]  	 mhat: 355.972018

[5.300000,0.037104]  	 mhat: 357.315195

[5.400000,0.034020]  	 mhat: 358.592447

[5.500000,0.031264]  	 mhat: 359.809143

[5.600000,0.028789]  	 mhat: 360.969869

[5.700000,0.026558]  	 mhat: 362.078594

[5.800000,0.024540]  	 mhat: 363.138805

[5.900000,0.022709]  	 mhat: 364.153599

[6.000000,0.021044]  	 mhat: 365.125754

[6.100000,0.019526]  	 mhat: 366.057783

[6.200000,0.018140]  	 mhat: 366.951979

[6.300000,0.016872]  	 mhat: 367.810440

[6.400000,0.015710]  	 mhat: 368.635102

[6.500000,0.014643]  	 mhat: 369.427752

[6.600000,0.013662]  	 mhat: 370.190046

[6.700000,0.012760]  	 mhat: 370.923526

[6.800000,0.011928]  	 mhat: 371.629630

[6.900000,0.011160]  	 mhat: 372.309697

[7.000000,0.010450]  	 mhat: 372.964984

[7.100000,0.009794]  	 mhat: 373.596665

[7.200000,0.009187]  	 mhat: 374.205846

[7.300000,0.008623]  	 mhat: 374.793562

[7.400000,0.008101]  	 mhat: 375.360790

[7.500000,0.007616]  	 mhat: 375.908449

[7.600000,0.007164]  	 mhat: 376.437406

[7.700000,0.006745]  	 mhat: 376.948478

[7.800000,0.006354]  	 mhat: 377.442439

[7.900000,0.005990]  	 mhat: 377.920019

[8.000000,0.005650]  	 mhat: 378.381912

[8.100000,0.005333]  	 mhat: 378.828771

[8.200000,0.005036]  	 mhat: 379.261219

[8.300000,0.004759]  	 mhat: 379.679845

