Enter initial value for theta: 50000
Enter stepsize for the points: .01
Enter stepsize: .001

[0.000000,50000.000000]  	 mhat: 0.000000

[0.010000,49999.375586]  	 mhat: 0.209438

[0.020000,49997.499926]  	 mhat: 1.675466

[0.030000,49994.374386]  	 mhat: 5.654485

[0.040000,49989.998933]  	 mhat: 13.402520

[0.050000,49984.373727]  	 mhat: 26.175030

[0.060000,49977.499010]  	 mhat: 45.226719

[0.070000,49969.375088]  	 mhat: 71.811350

[0.080000,49960.002322]  	 mhat: 107.181557

[0.090000,49949.381134]  	 mhat: 152.588652

[0.100000,49938.755058]  	 mhat: 203.069578

[0.110000,49925.763229]  	 mhat: 270.988586

[0.120000,49911.524518]  	 mhat: 352.564102

[0.130000,49896.039564]  	 mhat: 449.040504

[0.140000,49879.309065]  	 mhat: 561.659933

[0.150000,49859.467811]  	 mhat: 705.666024

[0.160000,49840.124183]  	 mhat: 856.217962

[0.170000,49819.537527]  	 mhat: 1026.747325

[0.180000,49797.708767]  	 mhat: 1218.485128

[0.190000,49774.638886]  	 mhat: 1432.659200

[0.200000,49750.328923]  	 mhat: 1670.493995

[0.210000,49724.779970]  	 mhat: 1933.210411

[0.220000,49697.993178]  	 mhat: 2222.025603

[0.230000,49669.969751]  	 mhat: 2538.152800

[0.240000,49640.710950]  	 mhat: 2882.801120

[0.250000,49610.218091]  	 mhat: 3257.175389

[0.260000,49578.492546]  	 mhat: 3662.475956

[0.270000,49545.535741]  	 mhat: 4099.898513

[0.280000,49511.349159]  	 mhat: 4570.633911

[0.290000,49475.934337]  	 mhat: 5075.867981

[0.300000,49439.292867]  	 mhat: 5616.781353

[0.310000,49401.426397]  	 mhat: 6194.549274

[0.320000,49362.336630]  	 mhat: 6810.341433

[0.330000,49322.025321]  	 mhat: 7465.321775

[0.340000,49280.494284]  	 mhat: 8160.648333

[0.350000,49237.745385]  	 mhat: 8897.473041

[0.360000,49193.780545]  	 mhat: 9676.941562

[0.370000,49148.601740]  	 mhat: 10500.193112

[0.380000,49102.211000]  	 mhat: 11368.360285

[0.390000,49054.610409]  	 mhat: 12282.568874

[0.400000,49005.802105]  	 mhat: 13243.937704

[0.410000,48955.788280]  	 mhat: 14253.578455

[0.420000,48904.571181]  	 mhat: 15312.595488

[0.430000,48852.153108]  	 mhat: 16422.085680

[0.440000,48798.536415]  	 mhat: 17583.138245

[0.450000,48743.723508]  	 mhat: 18796.834574

[0.460000,48687.716848]  	 mhat: 20064.248056

[0.470000,48630.518949]  	 mhat: 21386.443920

[0.480000,48572.132377]  	 mhat: 22764.479061

[0.490000,48512.559753]  	 mhat: 24199.401875

[0.500000,48451.803750]  	 mhat: 25692.252098

[0.510000,48389.867093]  	 mhat: 27244.060638

[0.520000,48326.752560]  	 mhat: 28855.849413

[0.530000,48262.462981]  	 mhat: 30528.631190

[0.540000,48197.001239]  	 mhat: 32263.409422

[0.550000,48130.370269]  	 mhat: 34061.178090

[0.560000,48062.573058]  	 mhat: 35922.921544

[0.570000,47993.612644]  	 mhat: 37849.614344

[0.580000,47923.492117]  	 mhat: 39842.221101

[0.590000,47852.214619]  	 mhat: 41901.696330

[0.600000,47779.783344]  	 mhat: 44028.984285

[0.610000,47706.201534]  	 mhat: 46225.018813

[0.620000,47631.472486]  	 mhat: 48490.723198

[0.630000,47555.599544]  	 mhat: 50827.010015

[0.640000,47478.586106]  	 mhat: 53234.780973

[0.650000,47400.435617]  	 mhat: 55714.926773

[0.660000,47321.151576]  	 mhat: 58268.326958

[0.670000,47240.737529]  	 mhat: 60895.849768

[0.680000,47159.197073]  	 mhat: 63598.351994

[0.690000,47076.533854]  	 mhat: 66376.678837

[0.700000,46992.751570]  	 mhat: 69231.663763

[0.710000,46907.853964]  	 mhat: 72164.128366

[0.720000,46821.844832]  	 mhat: 75174.882225

[0.730000,46734.728017]  	 mhat: 78264.722768

[0.740000,46646.507411]  	 mhat: 81434.435136

[0.750000,46557.186954]  	 mhat: 84684.792046

[0.760000,46466.770635]  	 mhat: 88016.553659

[0.770000,46375.262490]  	 mhat: 91430.467447

[0.780000,46282.666604]  	 mhat: 94927.268062

[0.790000,46188.987110]  	 mhat: 98507.677206

[0.800000,46094.228186]  	 mhat: 102172.403505

[0.810000,45998.394060]  	 mhat: 105922.142379

[0.820000,45901.489004]  	 mhat: 109757.575922

[0.830000,45803.517340]  	 mhat: 113679.372773

[0.840000,45704.483434]  	 mhat: 117688.188001

[0.850000,45604.391699]  	 mhat: 121784.662977

[0.860000,45503.246594]  	 mhat: 125969.425261

[0.870000,45401.052625]  	 mhat: 130243.088483

[0.880000,45297.814340]  	 mhat: 134606.252224

[0.890000,45193.536337]  	 mhat: 139059.501910

[0.900000,45088.223255]  	 mhat: 143603.408691

[0.910000,44981.879780]  	 mhat: 148238.529336

[0.920000,44874.510642]  	 mhat: 152965.406122

[0.930000,44766.120616]  	 mhat: 157784.566726

[0.940000,44656.714520]  	 mhat: 162696.524120

[0.950000,44546.297216]  	 mhat: 167701.776467

[0.960000,44434.873610]  	 mhat: 172800.807018

[0.970000,44322.448650]  	 mhat: 177994.084013

[0.980000,44209.027329]  	 mhat: 183282.060580

[0.990000,44094.614682]  	 mhat: 188665.174639

[1.000000,43979.215785]  	 mhat: 194143.848806

[1.010000,43862.835759]  	 mhat: 199718.490301

[1.020000,43745.479764]  	 mhat: 205389.490853

[1.030000,43627.153003]  	 mhat: 211157.226612

[1.040000,43507.860721]  	 mhat: 217022.058061

[1.050000,43387.608203]  	 mhat: 222984.329929

[1.060000,43266.400776]  	 mhat: 229044.371105

[1.070000,43144.243807]  	 mhat: 235202.494559

[1.080000,43021.142702]  	 mhat: 241458.997254

[1.090000,42897.102908]  	 mhat: 247814.160074

[1.100000,42772.129914]  	 mhat: 254268.247744

[1.110000,42646.229243]  	 mhat: 260821.508753

[1.120000,42519.406463]  	 mhat: 267474.175283

[1.130000,42391.667177]  	 mhat: 274226.463134

[1.140000,42263.017027]  	 mhat: 281078.571660

[1.150000,42133.461695]  	 mhat: 288030.683694

[1.160000,42003.006898]  	 mhat: 295082.965487

[1.170000,41871.658394]  	 mhat: 302235.566643

[1.180000,41739.421976]  	 mhat: 309488.620056

[1.190000,41606.303474]  	 mhat: 316842.241849

[1.200000,41472.308756]  	 mhat: 324296.531320

[1.210000,41337.443726]  	 mhat: 331851.570880

[1.220000,41201.714323]  	 mhat: 339507.426003

[1.230000,41065.126522]  	 mhat: 347264.145173

[1.240000,40927.686335]  	 mhat: 355121.759831

[1.250000,40789.399808]  	 mhat: 363080.284332

[1.260000,40650.273021]  	 mhat: 371139.715891

[1.270000,40510.312089]  	 mhat: 379300.034547

[1.280000,40369.523163]  	 mhat: 387561.203114

[1.290000,40227.912425]  	 mhat: 395923.167147

[1.300000,40085.486093]  	 mhat: 404385.854896

[1.310000,39942.250416]  	 mhat: 412949.177277

[1.320000,39798.211677]  	 mhat: 421613.027834

[1.330000,39653.376191]  	 mhat: 430377.282707

[1.340000,39507.750306]  	 mhat: 439241.800604

[1.350000,39361.340401]  	 mhat: 448206.422771

[1.360000,39214.152887]  	 mhat: 457270.972965

[1.370000,39066.194206]  	 mhat: 466435.257434

[1.380000,38917.470832]  	 mhat: 475699.064891

[1.390000,38767.989266]  	 mhat: 485062.166497

[1.400000,38617.756044]  	 mhat: 494524.315841

[1.410000,38466.777727]  	 mhat: 504085.248927

[1.420000,38315.060910]  	 mhat: 513744.684158

[1.430000,38162.612213]  	 mhat: 523502.322327

[1.440000,38009.438288]  	 mhat: 533357.846603

[1.450000,37855.545813]  	 mhat: 543310.922530

[1.460000,37700.941497]  	 mhat: 553361.198018

[1.470000,37545.632073]  	 mhat: 563508.303340

[1.480000,37389.624303]  	 mhat: 573751.851130

[1.490000,37232.924978]  	 mhat: 584091.436390

[1.500000,37075.540913]  	 mhat: 594526.636484

[1.510000,36917.478950]  	 mhat: 605057.011151

