Enter initial value for theta: 100000
Enter stepsize for the points: .01
Enter stepsize: .001

[0.000000,100000.000000]  	 mhat: 0.000000

[0.010000,99998.751257]  	 mhat: 0.418876

[0.020000,99995.000193]  	 mhat: 3.350932

[0.030000,99988.749540]  	 mhat: 11.308970

[0.040000,99979.999229]  	 mhat: 26.805040

[0.050000,99968.749583]  	 mhat: 52.350060

[0.060000,99955.001087]  	 mhat: 90.453439

[0.070000,99938.754349]  	 mhat: 143.622705

[0.080000,99920.010095]  	 mhat: 214.363121

[0.090000,99898.769166]  	 mhat: 305.177317

[0.100000,99877.518459]  	 mhat: 406.139177

[0.110000,99851.536570]  	 mhat: 541.977205

[0.120000,99823.061084]  	 mhat: 705.128255

[0.130000,99792.093283]  	 mhat: 898.081084

[0.140000,99758.634559]  	 mhat: 1123.319976

[0.150000,99718.954747]  	 mhat: 1411.332210

[0.160000,99680.270120]  	 mhat: 1712.436148

[0.170000,99639.099601]  	 mhat: 2053.494953

[0.180000,99595.445043]  	 mhat: 2436.970660

[0.190000,99549.308410]  	 mhat: 2865.318928

[0.200000,99500.691778]  	 mhat: 3340.988673

[0.210000,99449.597332]  	 mhat: 3866.421694

[0.220000,99396.027373]  	 mhat: 4444.052306

[0.230000,99339.984309]  	 mhat: 5076.306973

[0.240000,99281.470661]  	 mhat: 5765.603938

[0.250000,99220.489062]  	 mhat: 6514.352859

[0.260000,99157.042252]  	 mhat: 7324.954443

[0.270000,99091.133085]  	 mhat: 8199.800080

[0.280000,99022.764526]  	 mhat: 9141.271484

[0.290000,98951.939648]  	 mhat: 10151.740325

[0.300000,98878.661634]  	 mhat: 11233.567872

[0.310000,98802.933781]  	 mhat: 12389.104632

[0.320000,98724.759490]  	 mhat: 13620.689991

[0.330000,98644.142277]  	 mhat: 14930.651858

[0.340000,98561.085763]  	 mhat: 16321.306305

[0.350000,98475.593683]  	 mhat: 17794.957217

[0.360000,98387.669877]  	 mhat: 19353.895936

[0.370000,98297.318295]  	 mhat: 21000.400909

[0.380000,98204.542997]  	 mhat: 22736.737338

[0.390000,98109.348150]  	 mhat: 24565.156830

[0.400000,98011.738029]  	 mhat: 26487.897051

[0.410000,97911.717020]  	 mhat: 28507.181379

[0.420000,97809.289612]  	 mhat: 30625.218559

[0.430000,97704.460405]  	 mhat: 32844.202363

[0.440000,97597.234105]  	 mhat: 35166.311246

[0.450000,97487.615526]  	 mhat: 37593.708007

[0.460000,97375.609587]  	 mhat: 40128.539453

[0.470000,97261.221315]  	 mhat: 42772.936063

[0.480000,97144.455843]  	 mhat: 45529.011653

[0.490000,97025.318409]  	 mhat: 48398.863046

[0.500000,96903.814358]  	 mhat: 51384.569739

[0.510000,96779.949140]  	 mhat: 54488.193579

[0.520000,96653.728308]  	 mhat: 57711.778431

[0.530000,96525.157524]  	 mhat: 61057.349861

[0.540000,96394.242551]  	 mhat: 64526.914808

[0.550000,96260.989258]  	 mhat: 68122.461268

[0.560000,96125.403616]  	 mhat: 71845.957975

[0.570000,95987.491702]  	 mhat: 75699.354082

[0.580000,95847.259694]  	 mhat: 79684.578855

[0.590000,95704.713875]  	 mhat: 83803.541357

[0.600000,95559.860628]  	 mhat: 88058.130138

[0.610000,95412.706442]  	 mhat: 92450.212931

[0.620000,95263.257903]  	 mhat: 96981.636350

[0.630000,95111.521703]  	 mhat: 101654.225583

[0.640000,94957.504633]  	 mhat: 106469.784095

[0.650000,94801.213584]  	 mhat: 111430.093335

[0.660000,94642.655549]  	 mhat: 116536.912435

[0.670000,94481.837622]  	 mhat: 121791.977921

[0.680000,94318.766993]  	 mhat: 127197.003428

[0.690000,94153.450955]  	 mhat: 132753.679407

[0.700000,93985.896899]  	 mhat: 138463.672842

[0.710000,93816.112312]  	 mhat: 144328.626974

[0.720000,93644.104784]  	 mhat: 150350.161017

[0.730000,93469.881997]  	 mhat: 156529.869882

[0.740000,93293.451735]  	 mhat: 162869.323908

[0.750000,93114.821877]  	 mhat: 169370.068589

[0.760000,92934.000398]  	 mhat: 176033.624305

[0.770000,92750.995369]  	 mhat: 182861.486063

[0.780000,92565.814959]  	 mhat: 189855.123227

[0.790000,92378.467428]  	 mhat: 197015.979265

[0.800000,92188.961136]  	 mhat: 204345.471495

[0.810000,91997.304532]  	 mhat: 211844.990824

[0.820000,91803.506162]  	 mhat: 219515.901505

[0.830000,91607.574665]  	 mhat: 227359.540890

[0.840000,91409.518773]  	 mhat: 235377.219181

[0.850000,91209.347309]  	 mhat: 243570.219195

[0.860000,91007.069190]  	 mhat: 251939.796123

[0.870000,90802.693424]  	 mhat: 260487.177298

[0.880000,90596.229108]  	 mhat: 269213.561962

[0.890000,90387.685432]  	 mhat: 278120.121038

[0.900000,90177.071675]  	 mhat: 287207.996907

[0.910000,89964.397207]  	 mhat: 296478.303186

[0.920000,89749.671484]  	 mhat: 305932.124506

[0.930000,89532.904054]  	 mhat: 315570.516305

[0.940000,89314.104552]  	 mhat: 325394.504609

[0.950000,89093.282698]  	 mhat: 335405.085827

[0.960000,88870.448303]  	 mhat: 345603.226548

[0.970000,88645.611262]  	 mhat: 355989.863336

[0.980000,88418.781557]  	 mhat: 366565.902535

[0.990000,88189.969254]  	 mhat: 377332.220073

[1.000000,87959.184507]  	 mhat: 388289.661272

[1.010000,87726.437550]  	 mhat: 399439.040660

[1.020000,87491.738705]  	 mhat: 410781.141790

[1.030000,87255.098376]  	 mhat: 422316.717053

[1.040000,87016.527048]  	 mhat: 434046.487510

[1.050000,86776.035289]  	 mhat: 445971.142712

[1.060000,86533.633751]  	 mhat: 458091.340534

[1.070000,86289.333164]  	 mhat: 470407.707010

[1.080000,86043.144341]  	 mhat: 482920.836166

[1.090000,85795.078171]  	 mhat: 495631.289869

[1.100000,85545.145627]  	 mhat: 508539.597667

[1.110000,85293.357759]  	 mhat: 521646.256638

[1.120000,85039.725693]  	 mhat: 534951.731247

[1.130000,84784.260636]  	 mhat: 548456.453198

[1.140000,84526.973869]  	 mhat: 562160.821298

[1.150000,84267.876753]  	 mhat: 576065.201319

[1.160000,84006.980721]  	 mhat: 590169.925867

[1.170000,83744.297283]  	 mhat: 604475.294253

[1.180000,83479.838023]  	 mhat: 618981.572371

[1.190000,83213.614601]  	 mhat: 633688.992574

[1.200000,82945.638747]  	 mhat: 648597.753563

[1.210000,82675.922266]  	 mhat: 663708.020268

[1.220000,82404.477035]  	 mhat: 679019.923744

[1.230000,82131.315001]  	 mhat: 694533.561067

[1.240000,81856.448184]  	 mhat: 710248.995229

[1.250000,81579.888672]  	 mhat: 726166.255043

[1.260000,81301.648624]  	 mhat: 742285.335056

[1.270000,81021.740268]  	 mhat: 758606.195449

[1.280000,80740.175899]  	 mhat: 775128.761964

[1.290000,80456.967881]  	 mhat: 791852.925815

[1.300000,80172.128644]  	 mhat: 808778.543617

[1.310000,79885.670685]  	 mhat: 825905.437310

[1.320000,79597.606567]  	 mhat: 843233.394091

[1.330000,79307.948917]  	 mhat: 860762.166352

[1.340000,79016.710426]  	 mhat: 878491.471616

[1.350000,78723.903851]  	 mhat: 896420.992485

[1.360000,78429.542008]  	 mhat: 914550.376584

[1.370000,78133.637780]  	 mhat: 932879.236517

[1.380000,77836.204109]  	 mhat: 951407.149819

[1.390000,77537.253997]  	 mhat: 970133.658920

[1.400000,77236.800509]  	 mhat: 989058.271107

[1.410000,76934.856767]  	 mhat: 1008180.458495

[1.420000,76631.435954]  	 mhat: 1027499.657997

[1.430000,76326.551310]  	 mhat: 1047015.271302

[1.440000,76020.216133]  	 mhat: 1066726.664859

[1.450000,75712.443777]  	 mhat: 1086633.169858

[1.460000,75403.247654]  	 mhat: 1106734.082222

[1.470000,75092.641228]  	 mhat: 1127028.662600

[1.480000,74780.638022]  	 mhat: 1147516.136365

[1.490000,74467.251609]  	 mhat: 1168195.693617

[1.500000,74152.495618]  	 mhat: 1189066.489188

[1.510000,73836.383729]  	 mhat: 1210127.642653

[1.520000,73518.929676]  	 mhat: 1231378.238347

[1.530000,73200.147240]  	 mhat: 1252817.325378

[1.540000,72880.050257]  	 mhat: 1274443.917658

[1.550000,72558.652610]  	 mhat: 1296256.993925

[1.560000,72235.968231]  	 mhat: 1318255.497775

[1.570000,71912.011102]  	 mhat: 1340438.337702

[1.580000,71586.795250]  	 mhat: 1362804.387134

[1.590000,71260.334751]  	 mhat: 1385352.484477

[1.600000,70932.643725]  	 mhat: 1408081.433167

[1.610000,70603.736339]  	 mhat: 1430990.001721

[1.620000,70273.626804]  	 mhat: 1454076.923793

[1.630000,69942.329375]  	 mhat: 1477340.898238

[1.640000,69609.858348]  	 mhat: 1500780.589172

[1.650000,69276.228064]  	 mhat: 1524394.626051

[1.660000,68941.452905]  	 mhat: 1548181.603733

[1.670000,68605.547292]  	 mhat: 1572140.082567

[1.680000,68268.525688]  	 mhat: 1596268.588469

[1.690000,67930.402595]  	 mhat: 1620565.613010

[1.700000,67591.192553]  	 mhat: 1645029.613507

[1.710000,67250.910140]  	 mhat: 1669659.013119

[1.720000,66909.569971]  	 mhat: 1694452.200943

[1.730000,66567.186696]  	 mhat: 1719407.532120

[1.740000,66223.775004]  	 mhat: 1744523.327943

[1.750000,65879.349614]  	 mhat: 1769797.875964

[1.760000,65533.925284]  	 mhat: 1795229.430117

[1.770000,65187.516801]  	 mhat: 1820816.210832

[1.780000,64840.138986]  	 mhat: 1846556.405161

[1.790000,64491.806692]  	 mhat: 1872448.166907

[1.800000,64142.534803]  	 mhat: 1898489.616755

[1.810000,63792.338232]  	 mhat: 1924678.842410

[1.820000,63441.231923]  	 mhat: 1951013.898737

[1.830000,63089.230847]  	 mhat: 1977492.807905

[1.840000,62736.350004]  	 mhat: 2004113.559535

[1.850000,62382.604419]  	 mhat: 2030874.110858

[1.860000,62028.009147]  	 mhat: 2057772.386864

[1.870000,61672.579265]  	 mhat: 2084806.280469

[1.880000,61316.329875]  	 mhat: 2111973.652678

[1.890000,60959.276105]  	 mhat: 2139272.332755

[1.900000,60601.433104]  	 mhat: 2166700.118393

[1.910000,60242.816045]  	 mhat: 2194254.775896

[1.920000,59883.440122]  	 mhat: 2221934.040355

[1.930000,59523.320548]  	 mhat: 2249735.615837

[1.940000,59162.472559]  	 mhat: 2277657.175573

[1.950000,58800.911408]  	 mhat: 2305696.362148

[1.960000,58438.652367]  	 mhat: 2333850.787704

[1.970000,58075.710727]  	 mhat: 2362118.034133

[1.980000,57712.101793]  	 mhat: 2390495.653288

[1.990000,57347.840889]  	 mhat: 2418981.167191

[2.000000,56982.943351]  	 mhat: 2447572.068240

[2.010000,56617.424534]  	 mhat: 2476265.819432

[2.020000,56251.299802]  	 mhat: 2505059.854579

[2.030000,55884.584536]  	 mhat: 2533951.578534

[2.040000,55517.294125]  	 mhat: 2562938.367417

[2.050000,55149.443973]  	 mhat: 2592017.568847

[2.060000,54781.049492]  	 mhat: 2621186.502178

[2.070000,54412.126105]  	 mhat: 2650442.458738

[2.080000,54079.655597]  	 mhat: 2676844.963392

[2.090000,53709.769811]  	 mhat: 2706258.702385

[2.100000,53339.399892]  	 mhat: 2735751.453224

[2.110000,52968.561295]  	 mhat: 2765320.400285

[2.120000,52597.269479]  	 mhat: 2794962.701143

[2.130000,52225.539907]  	 mhat: 2824675.486831

[2.140000,51853.388048]  	 mhat: 2854455.862102

[2.150000,51480.829374]  	 mhat: 2884300.905702

[2.160000,51107.879361]  	 mhat: 2914207.670634

[2.170000,50734.553485]  	 mhat: 2944173.184442

[2.180000,50360.867223]  	 mhat: 2974194.449480

[2.190000,49986.836054]  	 mhat: 3004268.443199

[2.200000,49612.475457]  	 mhat: 3034392.118430

[2.210000,49237.800907]  	 mhat: 3064562.403675

[2.220000,48862.827880]  	 mhat: 3094776.203396

[2.230000,48487.571847]  	 mhat: 3125030.398311

[2.240000,48112.048278]  	 mhat: 3155321.845694

[2.250000,47736.272635]  	 mhat: 3185647.379675

[2.260000,47360.260379]  	 mhat: 3216003.811546

[2.270000,46984.026962]  	 mhat: 3246387.930070

[2.280000,46607.587830]  	 mhat: 3276796.501794

[2.290000,46230.958424]  	 mhat: 3307226.271357

[2.300000,45854.154174]  	 mhat: 3337673.961818

[2.310000,45477.190501]  	 mhat: 3368136.274970

[2.320000,45100.082818]  	 mhat: 3398609.891666

[2.330000,44722.846527]  	 mhat: 3429091.472147

[2.340000,44345.497018]  	 mhat: 3459577.656373

[2.350000,43968.049669]  	 mhat: 3490065.064355

[2.360000,43590.519846]  	 mhat: 3520550.296491

[2.370000,43212.922900]  	 mhat: 3551029.933907

[2.380000,42835.274169]  	 mhat: 3581500.538798

[2.390000,42457.588975]  	 mhat: 3611958.654776

[2.400000,42079.882625]  	 mhat: 3642400.807213

[2.410000,41702.170409]  	 mhat: 3672823.503595

[2.420000,41324.467598]  	 mhat: 3703223.233878

[2.430000,40946.789448]  	 mhat: 3733596.470837

[2.440000,40569.151193]  	 mhat: 3763939.670435

[2.450000,40191.568050]  	 mhat: 3794249.272176

[2.460000,39814.055213]  	 mhat: 3824521.699476

[2.470000,39436.627857]  	 mhat: 3854753.360025

[2.480000,39059.301133]  	 mhat: 3884940.646163

[2.490000,38682.090172]  	 mhat: 3915079.935244

[2.500000,38305.010079]  	 mhat: 3945167.590020

[2.510000,37928.075936]  	 mhat: 3975199.959012

[2.520000,37551.302801]  	 mhat: 4005173.376892

[2.530000,37174.705705]  	 mhat: 4035084.164865

