Enter initial value for theta: .5
Enter stepsize for the points: .1
Enter stepsize: .001

[0.000000,0.500000]  	 mhat: 0.000000

[0.100000,0.499129]  	 mhat: 0.002092

[0.200000,0.496523]  	 mhat: 0.016685

[0.300000,0.492205]  	 mhat: 0.056019

[0.400000,0.486211]  	 mhat: 0.131816

[0.500000,0.478593]  	 mhat: 0.255040

[0.600000,0.469415]  	 mhat: 0.435663

[0.700000,0.458871]  	 mhat: 0.679644

[0.800000,0.446838]  	 mhat: 0.999259

[0.900000,0.433520]  	 mhat: 1.398283

[1.000000,0.419032]  	 mhat: 1.880974

[1.100000,0.403501]  	 mhat: 2.449877

[1.200000,0.386895]  	 mhat: 3.112787

[1.300000,0.369688]  	 mhat: 3.855619

[1.400000,0.351871]  	 mhat: 4.681860

[1.500000,0.333601]  	 mhat: 5.587283

[1.600000,0.315036]  	 mhat: 6.566213

[1.700000,0.296337]  	 mhat: 7.611715

[1.800000,0.277663]  	 mhat: 8.715803

[1.900000,0.259169]  	 mhat: 9.869690

[2.000000,0.241003]  	 mhat: 11.064052

[2.100000,0.223304]  	 mhat: 12.289307

[2.200000,0.206197]  	 mhat: 13.535890

[2.300000,0.189794]  	 mhat: 14.794520

[2.400000,0.174188]  	 mhat: 16.056437

[2.500000,0.159453]  	 mhat: 17.313611

[2.600000,0.145642]  	 mhat: 18.558897

[2.700000,0.132787]  	 mhat: 19.786147

[2.800000,0.120900]  	 mhat: 20.990260

[2.900000,0.109973]  	 mhat: 22.167184

[3.000000,0.099983]  	 mhat: 23.313870

[3.100000,0.090892]  	 mhat: 24.428189

[3.200000,0.082649]  	 mhat: 25.508823

[3.300000,0.075199]  	 mhat: 26.555137

[3.400000,0.068481]  	 mhat: 27.567050

[3.500000,0.062430]  	 mhat: 28.544914

[3.600000,0.056986]  	 mhat: 29.489401

[3.700000,0.052089]  	 mhat: 30.401405

[3.800000,0.047681]  	 mhat: 31.281964

[3.900000,0.043710]  	 mhat: 32.132197

[4.000000,0.040130]  	 mhat: 32.953261

[4.100000,0.036898]  	 mhat: 33.746312

[4.200000,0.033974]  	 mhat: 34.512486

[4.300000,0.031326]  	 mhat: 35.252887

[4.400000,0.028924]  	 mhat: 35.968571

[4.500000,0.026740]  	 mhat: 36.660550

[4.600000,0.024752]  	 mhat: 37.329787

[4.700000,0.022957]  	 mhat: 37.970830

[4.800000,0.021301]  	 mhat: 38.597492

[4.900000,0.019786]  	 mhat: 39.204018

[5.000000,0.018398]  	 mhat: 39.791194

[5.100000,0.017125]  	 mhat: 40.359771

[5.200000,0.015956]  	 mhat: 40.910462

[5.300000,0.014881]  	 mhat: 41.443947

[5.400000,0.013892]  	 mhat: 41.960875

[5.500000,0.012980]  	 mhat: 42.461865

[5.600000,0.012138]  	 mhat: 42.947511

[5.700000,0.011360]  	 mhat: 43.418377

[5.800000,0.010641]  	 mhat: 43.875006

[5.900000,0.009976]  	 mhat: 44.317915

[6.000000,0.009359]  	 mhat: 44.747602

[6.100000,0.008786]  	 mhat: 45.164539

[6.200000,0.008255]  	 mhat: 45.569185

[6.300000,0.007762]  	 mhat: 45.961973

[6.400000,0.007303]  	 mhat: 46.343324

[6.500000,0.006875]  	 mhat: 46.713637

[6.600000,0.006477]  	 mhat: 47.073299

[6.700000,0.006106]  	 mhat: 47.422679

[6.800000,0.005760]  	 mhat: 47.762130

[6.900000,0.005437]  	 mhat: 48.091994

[7.000000,0.005135]  	 mhat: 48.412597

[7.100000,0.004852]  	 mhat: 48.724253

[7.200000,0.004588]  	 mhat: 49.027264

[7.300000,0.004340]  	 mhat: 49.321920

[7.400000,0.004108]  	 mhat: 49.608499

[7.500000,0.003891]  	 mhat: 49.887269

[7.600000,0.003687]  	 mhat: 50.158488

[7.700000,0.003495]  	 mhat: 50.422404

[7.800000,0.003315]  	 mhat: 50.679253

[7.900000,0.003146]  	 mhat: 50.929267

[8.000000,0.002987]  	 mhat: 51.172665

[8.100000,0.002837]  	 mhat: 51.409660

[8.200000,0.002696]  	 mhat: 51.640456

[8.300000,0.002563]  	 mhat: 51.865250

[8.400000,0.002438]  	 mhat: 52.084232

[8.500000,0.002320]  	 mhat: 52.297584

[8.600000,0.002209]  	 mhat: 52.505482

[8.700000,0.002103]  	 mhat: 52.708095

[8.800000,0.002004]  	 mhat: 52.905588

[8.900000,0.001910]  	 mhat: 53.098117

[9.000000,0.001821]  	 mhat: 53.285835

[9.100000,0.001737]  	 mhat: 53.468887

[9.200000,0.001658]  	 mhat: 53.647416

[9.300000,0.001583]  	 mhat: 53.821556

[9.400000,0.001512]  	 mhat: 53.991441

[9.500000,0.001444]  	 mhat: 54.157196

[9.600000,0.001380]  	 mhat: 54.318944

[9.700000,0.001319]  	 mhat: 54.476803

[9.800000,0.001262]  	 mhat: 54.630888

[9.900000,0.001207]  	 mhat: 54.781309

[10.000000,0.001155]  	 mhat: 54.928171

[10.100000,0.001106]  	 mhat: 55.071578

[10.200000,0.001059]  	 mhat: 55.211630

[10.300000,0.001014]  	 mhat: 55.348421

[10.400000,0.000972]  	 mhat: 55.482046

[10.500000,0.000932]  	 mhat: 55.612593

[10.600000,0.000893]  	 mhat: 55.740150

[10.700000,0.000857]  	 mhat: 55.864800

[10.800000,0.000822]  	 mhat: 55.986624

[10.900000,0.000789]  	 mhat: 56.105701

[11.000000,0.000757]  	 mhat: 56.222106

[11.100000,0.000727]  	 mhat: 56.335914

[11.200000,0.000698]  	 mhat: 56.447194

[11.300000,0.000671]  	 mhat: 56.556017

[11.400000,0.000645]  	 mhat: 56.662448

[11.500000,0.000620]  	 mhat: 56.766551

[11.600000,0.000596]  	 mhat: 56.868390

[11.700000,0.000573]  	 mhat: 56.968025

[11.800000,0.000551]  	 mhat: 57.065514

[11.900000,0.000530]  	 mhat: 57.160914

[12.000000,0.000511]  	 mhat: 57.254279

[12.100000,0.000491]  	 mhat: 57.345664

