Enter initial value for theta: .05
Enter stepsize for the points: .1
Enter stepsize: .001

[12.600000,0.000164]  	 mhat: 9.404916

[12.700000,0.000159]  	 mhat: 9.437297

[12.800000,0.000154]  	 mhat: 9.469179

[12.900000,0.000149]  	 mhat: 9.500572

[13.000000,0.000144]  	 mhat: 9.531483

[13.100000,0.000140]  	 mhat: 9.561922

[13.200000,0.000136]  	 mhat: 9.591896

[13.300000,0.000132]  	 mhat: 9.621415

[13.400000,0.000128]  	 mhat: 9.650487

[13.500000,0.000124]  	 mhat: 9.679119

[13.600000,0.000120]  	 mhat: 9.707319

[13.700000,0.000117]  	 mhat: 9.735095

[13.800000,0.000113]  	 mhat: 9.762454

[13.900000,0.000110]  	 mhat: 9.789404

[14.000000,0.000107]  	 mhat: 9.815951

[14.100000,0.000104]  	 mhat: 9.842104

[14.200000,0.000101]  	 mhat: 9.867869

[14.300000,0.000098]  	 mhat: 9.893253

[14.400000,0.000095]  	 mhat: 9.918262

[14.500000,0.000093]  	 mhat: 9.942903

[14.600000,0.000090]  	 mhat: 9.967182

[14.700000,0.000087]  	 mhat: 9.991106

[14.800000,0.000085]  	 mhat: 10.014682

[14.900000,0.000083]  	 mhat: 10.037914

[15.000000,0.000080]  	 mhat: 10.060809

[15.100000,0.000078]  	 mhat: 10.083373

[15.200000,0.000076]  	 mhat: 10.105611

[15.300000,0.000074]  	 mhat: 10.127529

[15.400000,0.000072]  	 mhat: 10.149133

[15.500000,0.000070]  	 mhat: 10.170428

[15.600000,0.000068]  	 mhat: 10.191419

[15.700000,0.000066]  	 mhat: 10.212112

[15.800000,0.000065]  	 mhat: 10.232511

[15.900000,0.000063]  	 mhat: 10.252621

[16.000000,0.000061]  	 mhat: 10.272448

[16.100000,0.000060]  	 mhat: 10.291996

[16.200000,0.000058]  	 mhat: 10.311270

[16.300000,0.000057]  	 mhat: 10.330275

[16.400000,0.000055]  	 mhat: 10.349014

[16.500000,0.000054]  	 mhat: 10.367493

[16.600000,0.000052]  	 mhat: 10.385716

[16.700000,0.000051]  	 mhat: 10.403687

[16.800000,0.000050]  	 mhat: 10.421411

