
Coefficients for Data Set 1

0.000000	0.892633	0.923469	1.172533	0.000000	

 Values of Cubic Interpolant for Data Set 1
(-0.952381, -0.404201)
(-0.857143, -0.487113)
(-0.761905, -0.567712)
(-0.666667, -0.644455)
(-0.571429, -0.715801)
(-0.476190, -0.780210)
(-0.380952, -0.836615)
(-0.285714, -0.884856)
(-0.190476, -0.924882)
(-0.095238, -0.956637)
(0.000000, -0.980070)
(0.095238, -0.995064)
(0.190476, -1.001251)
(0.285714, -0.998202)
(0.380952, -0.985485)
(0.476190, -0.962672)
(0.571429, -0.929503)
(0.666667, -0.887225)
(0.761905, -0.837856)
(0.857143, -0.783424)
(0.952381, -0.725952)

Coefficients for Data Set 2

0.000000	8.444919	-11.663674	8.724819	0.000000	

 Values of Cubic Interpolant for Data Set 2
(-0.952381, -0.433899)
(-0.857143, -0.569682)
(-0.761905, -0.683580)
(-0.666667, -0.761003)
(-0.571429, -0.787360)
(-0.476190, -0.748191)
(-0.380952, -0.644578)
(-0.285714, -0.507793)
(-0.190476, -0.372577)
(-0.095238, -0.273673)
(0.000000, -0.245820)
(0.095238, -0.312099)
(0.190476, -0.448947)
(0.285714, -0.621138)
(0.380952, -0.793448)
(0.476190, -0.930652)
(0.571429, -1.001062)
(0.666667, -1.003772)
(0.761905, -0.953724)
(0.857143, -0.865992)
(0.952381, -0.755650)

Coefficients for 1-x^2

0.000000	-2.571429	-1.714286	-2.571429	0.000000	

 Values of Cubic Interpolant for 1-x^2
(-0.952381, 0.081540)
(-0.857143, 0.242399)
(-0.761905, 0.396594)
(-0.666667, 0.539683)
(-0.571429, 0.667222)
(-0.476190, 0.774785)
(-0.380952, 0.859812)
(-0.285714, 0.923365)
(-0.190476, 0.966927)
(-0.095238, 0.991979)
(0.000000, 1.000000)
(0.095238, 0.991979)
(0.190476, 0.966927)
(0.285714, 0.923365)
(0.380952, 0.859812)
(0.476190, 0.774785)
(0.571429, 0.667222)
(0.666667, 0.539683)
(0.761905, 0.396594)
(0.857143, 0.242399)
(0.952381, 0.081540)

Coefficients for sqrt(5-x^2)

0.000000	-0.648149	-0.355348	-0.648149	0.000000	

 Values of Cubic Interpolant for sqrt(5-x^2)
(-0.952381, 2.019639)
(-0.857143, 2.058358)
(-0.761905, 2.095396)
(-0.666667, 2.129635)
(-0.571429, 2.159955)
(-0.476190, 2.185240)
(-0.380952, 2.204887)
(-0.285714, 2.219288)
(-0.190476, 2.228947)
(-0.095238, 2.234372)
(0.000000, 2.236068)
(0.095238, 2.234372)
(0.190476, 2.228947)
(0.285714, 2.219288)
(0.380952, 2.204887)
(0.476190, 2.185240)
(0.571429, 2.159955)
(0.666667, 2.129635)
(0.761905, 2.095396)
(0.857143, 2.058358)
(0.952381, 2.019639)
