Enter the x value to approximate at: Actual value: 403.428793492735 
n: 1	value: 1.000000000000
n: 2	value: 7.000000000000
n: 3	value: 25.000000000000
n: 4	value: 61.000000000000
n: 5	value: 115.000000000000
n: 6	value: 179.800000000000
n: 7	value: 244.600000000000
n: 8	value: 300.142857142857
n: 9	value: 341.800000000000
n: 10	value: 369.571428571429
n: 11	value: 386.234285714286
n: 12	value: 395.323116883117
n: 13	value: 399.867532467532
n: 14	value: 401.964955044955
n: 15	value: 402.863850435279
n: 16	value: 403.223408591409
n: 17	value: 403.358242899957
n: 18	value: 403.405831479445
n: 19	value: 403.421694339274
n: 20	value: 403.426703663431
n: 21	value: 403.428206460678
n: 22	value: 403.428635831320
n: 23	value: 403.428752932404
n: 24	value: 403.428783480513
n: 25	value: 403.428791117540
n: 26	value: 403.428792950427
n: 27	value: 403.428793373400
n: 28	value: 403.428793467395
n: 29	value: 403.428793487536
n: 30	value: 403.428793491703
n: 31	value: 403.428793492537
